Nome;Modelo;Valor c desc;Valor s desc;Porcentagem desc;Avaliacao; 
Camiseta Nike Rise 365 Masculina;Corrida;R$ 189,99 no Pix;R$ 299,99;37% off;5.0;
Camiseta Nike Sportswer M90 OC Masculina;Casual;R$ 218,49 no Pix;R$ 229,99;5% off;;
Camiseta Nike Sportswer M90 OC Masculina;Casual;R$ 218,49 no Pix;R$ 229,99;5% off;;
Cardigan Nike Club Fairway Masculino;Casual;R$ 379,99 no Pix;R$ 499,99;24% off;5.0;
Personalize;Camisa Nike Corinthians I 2024/25 Jogador Masculina;Futebol;R$ 664,99 no Pix;R$ 699,99;5% off;3.7
Camiseta Nike Sportswear Attitude Infantil;Pré-Adolescentes / Casual;R$ 142,49 no Pix;R$ 179,99;21% off;;
Camiseta Nike Sportswear Attitude Infantil;Pré-Adolescentes / Casual;R$ 85,49 no Pix;R$ 179,99;53% off;;
Jaqueta Nike Sportswear Woven Masculina;Casual;R$ 579,49 no Pix;R$ 849,99;32% off;5.0;
Camiseta Nike Trail Dri-FIT Masculina;Corrida;R$ 161,49 no Pix;R$ 249,99;35% off;;
Camisa Nike França I 2024/25 Jogador Masculina;Futebol;R$ 664,99 no Pix;R$ 699,99;5% off;;
Shorts Nike NBA Golden State Warriors Masculino;Basquete;R$ 275,49 no Pix;R$ 399,99;31% off;;
Camiseta Jordan Sport Dri-FIT Masculina;Casual;R$ 218,49 no Pix;R$ 229,99;5% off;;
Calça Nike Dri-FIT Academy 23 Masculina;Futebol;R$ 227,99 no Pix;R$ 299,99;24% off;4.5;
Shorts Nike Dri-FIT Icon Masculino;Basquete;R$ 237,49 no Pix;R$ 249,99;5% off;4.8;
Camiseta Nike Liverpool III Pré-Jogo Masculina;Futebol;R$ 313,49 no Pix;R$ 399,99;22% off;;
Calça Nike Woven Tech Masculina;Casual;R$ 474,99 no Pix;R$ 699,99;32% off;5.0;
Camisa Polo Nike Rafa Nadal Masculina;Para Jogar Tênis;R$ 218,49 no Pix;R$ 499,99;56% off;5.0;
Shorts Nike Liverpool III 2023/24 Torcedor Pro Masculino;Futebol;R$ 227,99 no Pix;R$ 349,99;35% off;;
Shorts Nike Dri-FIT Swoosh 7UL Masculino;Treino & Academia;R$ 332,49 no Pix;R$ 349,99;5% off;;
Camiseta Nike Sportswear Masculina;Casual;R$ 170,99 no Pix;R$ 229,99;26% off;5.0;
Camiseta Nike Sportswear Masculina;Casual;R$ 189,99 no Pix;R$ 229,99;17% off;5.0;
Camiseta Nike Sportswear Masculina;Casual;R$ 189,99 no Pix;R$ 229,99;17% off;5.0;
Camiseta Nike Sportswear Masculina;Casual;R$ 218,49 no Pix;R$ 229,99;5% off;5.0;
Regata Nike Dri-FIT ADV Masculina;Corrida;R$ 569,99 no Pix;R$ 599,99;5% off;;
Blusão Nike Sportswear Club Fleece Masculino;Casual;R$ 379,99 no Pix;R$ 399,99;5% off;4.7;
Camiseta NikeCourt Dri-FIT ADV Slam Masculina;Para Jogar Tênis;R$ 455,99 no Pix;R$ 599,99;24% off;5.0;
Camiseta Nike Paris Saint-Germain Crest Masculina;Futebol;R$ 113,99 no Pix;R$ 199,99;43% off;5.0;
Camisa Nike FC Chelsea III 2024/25 Torcedor Pro Masculina;Futebol;R$ 379,99 no Pix;R$ 399,99;5% off;;
Shorts Nike Form Dri-FIT Masculino;Treino & Academia;R$ 170,99 no Pix;R$ 299,99;43% off;4.0;
Shorts Nike Team 31 Standard Issue Masculino;Basquete;R$ 265,99 no Pix;R$ 399,99;34% off;4.8;
Camiseta Nike Fri-FIT GFX Masculina;Treino & Academia;R$ 170,99 no Pix;R$ 179,99;5% off;;
Camiseta Nike Fri-FIT GFX Masculina;Treino & Academia;R$ 170,99 no Pix;R$ 179,99;5% off;;
Blusão Nike SB Jarritos Bowling Button Unissex;Skateboarding;R$ 379,99 no Pix;R$ 749,99;49% off;;
Shorts Nike Dri-FIT Unlimited Masculino;Treino & Academia;R$ 237,49 no Pix;R$ 379,99;38% off;4.8;
Shorts Nike Dri-FIT Unlimited Masculino;Treino & Academia;R$ 218,49 no Pix;R$ 379,99;43% off;4.8;
Shorts Nike Yoga Therma-FIT Masculino;Yoga;R$ 208,99 no Pix;R$ 279,99;25% off;5.0;
